CopiedTimestamp,SourceFile,DestinationFile,FileSize,SourceFileSha1,DeferredCopy,CreatedOnUtc,ModifiedOnUtc,LastAccessedOnUtc,CopyDuration
2024-09-06 13:17:51.6508250,E:\Windows\System32\config\systemprofile\ntuser.dat,D:\challengeeeeee\E\Windows\System32\config\systemprofile\ntuser.dat,262144,B5AFDE34287C488CA83F3EB90E9C66D2406C869D,False,2009-07-14 05:41:50.0286430,2024-09-06 21:47:00.5444369,2024-09-06 21:47:00.5444369,00:00:00.0039902
2024-09-06 13:17:51.6589692,E:\Windows\System32\config\systemprofile\ntuser.dat.LOG,D:\challengeeeeee\E\Windows\System32\config\systemprofile\ntuser.dat.LOG,1024,E756126790CB231C9729B875566713FF2A040B31,False,2009-07-14 06:38:29.4818750,2009-07-14 06:38:30.0600000,2009-07-14 06:38:30.0443750,00:00:00.0039739
2024-09-06 13:17:51.6667907,E:\Windows\System32\config\systemprofile\ntuser.dat.LOG1,D:\challengeeeeee\E\Windows\System32\config\systemprofile\ntuser.dat.LOG1,9216,E4B2509E95A353D270FF9AC8EF67E9EB894B2C66,False,2009-07-14 05:41:50.0286430,2024-09-06 21:47:00.5444369,2009-07-14 05:41:50.0286430,00:00:00.0028456
2024-09-06 13:17:51.6897677,E:\Windows\ServiceProfiles\LocalService\NTUSER.DAT,D:\challengeeeeee\E\Windows\ServiceProfiles\LocalService\NTUSER.DAT,262144,5D9ACE7D7673B47174147C32A68E9F28FCE642A7,False,2009-07-14 04:49:35.3628648,2024-09-06 13:00:35.1850257,2024-09-06 13:00:35.1850257,00:00:00.0069935
2024-09-06 13:17:51.6989111,E:\Windows\ServiceProfiles\LocalService\NTUSER.DAT.LOG,D:\challengeeeeee\E\Windows\ServiceProfiles\LocalService\NTUSER.DAT.LOG,1024,6B42061B78C8647C1F416FCEE7F722380E8D59B8,False,2009-07-14 06:38:29.4193750,2009-07-14 06:38:29.9662500,2009-07-14 06:38:29.9662500,00:00:00.0040725
2024-09-06 13:17:51.7090014,E:\Windows\ServiceProfiles\LocalService\NTUSER.DAT.LOG1,D:\challengeeeeee\E\Windows\ServiceProfiles\LocalService\NTUSER.DAT.LOG1,115712,E63FCB95AB3B520676420B89FAE95A3736346DCD,False,2009-07-14 04:49:35.3628648,2024-09-06 13:00:35.1850257,2009-07-14 04:49:35.3628648,00:00:00.0052775
2024-09-06 13:17:51.7246016,E:\Windows\ServiceProfiles\NetworkService\NTUSER.DAT,D:\challengeeeeee\E\Windows\ServiceProfiles\NetworkService\NTUSER.DAT,262144,9EF2AAEDC449BE5B759F067B50B3112DBB0C7A4E,False,2009-07-14 04:49:35.0352642,2024-09-06 13:00:35.1850257,2024-09-06 13:00:35.1850257,00:00:00.0079803
2024-09-06 13:17:51.7325798,E:\Windows\ServiceProfiles\NetworkService\NTUSER.DAT.LOG,D:\challengeeeeee\E\Windows\ServiceProfiles\NetworkService\NTUSER.DAT.LOG,1024,52D0E9E5AEF24989D312731F3F0C418CDDCA0AC6,False,2009-07-14 06:38:29.4350000,2009-07-14 06:38:30.0287500,2009-07-14 06:38:29.9975000,00:00:00.0029947
2024-09-06 13:17:51.7435515,E:\Windows\ServiceProfiles\NetworkService\NTUSER.DAT.LOG1,D:\challengeeeeee\E\Windows\ServiceProfiles\NetworkService\NTUSER.DAT.LOG1,115712,88024871BEEA38E1C3BC7316108FA339B93800B0,False,2009-07-14 04:49:35.0508642,2024-09-06 13:00:35.1850257,2009-07-14 04:49:35.0508642,00:00:00.0059855
2024-09-06 13:17:51.7655314,E:\Users\Administrator\NTUSER.DAT,D:\challengeeeeee\E\Users\Administrator\NTUSER.DAT,524288,D866E2A8BB9680CFEA3467876FE5B116A6F349F2,False,2024-09-06 11:56:20.7103084,2024-09-06 13:00:29.3506154,2024-09-06 13:00:29.3506154,00:00:00.0110712
2024-09-06 13:17:51.7810383,E:\Users\Default\NTUSER.DAT,D:\challengeeeeee\E\Users\Default\NTUSER.DAT,262144,5F73D2290B6E64BA7471FBA179A3C586D91D31BB,False,2009-07-14 02:34:08.0727649,2024-09-06 21:47:00.5912370,2024-09-06 21:47:00.5912370,00:00:00.0049868
2024-09-06 13:17:51.7979917,E:\Users\HP\NTUSER.DAT,D:\challengeeeeee\E\Users\HP\NTUSER.DAT,524288,9C5AF200674BB445B2B0772FB2F3089727715971,False,2024-09-06 11:49:46.0296152,2024-09-06 11:55:33.8946262,2024-09-06 11:55:33.8946262,00:00:00.0089772
2024-09-06 13:17:51.8145765,E:\Users\Administrator\ntuser.dat.LOG1,D:\challengeeeeee\E\Users\Administrator\ntuser.dat.LOG1,262144,26FC2199CB8A4678777B7BC5FE7675662546883C,False,2024-09-06 11:56:20.7259085,2024-09-06 13:00:29.3506154,2024-09-06 11:56:20.7259085,00:00:00.0061051
2024-09-06 13:17:51.8195636,E:\Users\Default\NTUSER.DAT.LOG,D:\challengeeeeee\E\Users\Default\NTUSER.DAT.LOG,1024,9EDE91644A1CEF33AA43EFC434B8DA54D40F4405,False,2009-07-14 06:38:21.6381250,2009-07-14 07:04:00.9830687,2009-07-14 07:04:00.9518201,00:00:00.0019952
2024-09-06 13:17:51.8327000,E:\Users\Default\NTUSER.DAT.LOG1,D:\challengeeeeee\E\Users\Default\NTUSER.DAT.LOG1,95232,C1BC3B5CFAAE5E425BDCC0DFFCFD110EE9F95B28,False,2009-07-14 02:34:08.0727649,2024-09-06 21:47:00.5912370,2009-07-14 02:34:08.0727649,00:00:00.0068877
2024-09-06 13:17:51.8506504,E:\Users\HP\ntuser.dat.LOG1,D:\challengeeeeee\E\Users\HP\ntuser.dat.LOG1,262144,62D26142F94919F8440C8DEEC3178A68117B24C4,False,2024-09-06 11:49:46.0608153,2024-09-06 11:55:33.8946262,2024-09-06 11:49:46.0608153,00:00:00.0049873
2024-09-06 13:17:51.8618005,E:\Windows\System32\config\DEFAULT,D:\challengeeeeee\E\Windows\System32\config\DEFAULT,262144,342AA77DF78D8D9EF5E6DA3850F698B091AFE472,False,2009-07-14 02:34:08.0727649,2024-09-06 13:00:35.1850257,2024-09-06 13:00:35.1850257,00:00:00.0053705
2024-09-06 13:17:51.8687809,E:\Windows\System32\config\DEFAULT.LOG,D:\challengeeeeee\E\Windows\System32\config\DEFAULT.LOG,1024,5E828C38BF5D0E68BF6033F31B0ABFE1E6462C29,False,2009-07-14 06:38:21.6068750,2009-07-14 07:04:00.9049472,2009-07-14 07:04:00.7955771,00:00:00.0029908
2024-09-06 13:17:51.8787535,E:\Windows\System32\config\DEFAULT.LOG1,D:\challengeeeeee\E\Windows\System32\config\DEFAULT.LOG1,58368,EA6A63338DDE03CC6FEC380C1F5B6C702610D70F,False,2009-07-14 02:34:08.0727649,2024-09-06 13:00:35.1850257,2009-07-14 02:34:08.0727649,00:00:00.0040995
2024-09-06 13:17:51.8927156,E:\Users\Administrator\AppData\Local\Microsoft\Windows\UsrClass.dat,D:\challengeeeeee\E\Users\Administrator\AppData\Local\Microsoft\Windows\UsrClass.dat,262144,C3C32848B50200195F20A3C776E9F69722B7F2C9,False,2024-09-06 11:56:20.7571085,2024-09-06 13:00:29.3506154,2024-09-06 13:00:29.3506154,00:00:00.0047606
